Date,close,open,high,low,volume
05-11-2009,8537.2,8521.55,8564.25,8319.5,27.1
04-11-2009,8506.75,8330.5,8521.1,8267.95,24.64
03-11-2009,8255.45,8372.1,8506.8,8207.75,29.21
30-10-2009,8438.6,8476.95,8728.05,8411.15,41.62
29-10-2009,8417.85,8541.65,8552.75,8370.15,41.95
28-10-2009,8609.1,8652.1,8680.9,8410.95,38.86
27-10-2009,8698.8,8948.3,9100.35,8661.6,44.07
26-10-2009,9033.85,9193.2,9225.2,9014.1,31.18
23-10-2009,9188.4,9189.1,9261.6,9131.05,18.18
22-10-2009,9090.1,9244.5,9250,9057.1,20.47
21-10-2009,9273.05,9395,9453.75,9259.7,17.41
20-10-2009,9476.4,9548.05,9630.35,9429.8,20.64
17-10-2009,9513.4,9533.15,9575.85,9462.95,4.23
16-10-2009,9526.7,9312.8,9555.9,9259.9,35.84
15-10-2009,9296.75,9157.1,9313.9,9155.25,26.95
14-10-2009,9150,8984.1,9166.75,8984.1,21.82
12-10-2009,8963.8,8720.7,8981.3,8698.55,24.78
09-10-2009,8696.8,8827.85,8861.2,8658.15,32.52
08-10-2009,8841.3,8790.95,8881.95,8720.25,24.83
07-10-2009,8750,8827.3,8971.5,8724.75,32.33
06-10-2009,8808.4,8709.65,8820,8555,27.07
